nwords;th_neigh;val_lang;c.i1_val_lang;c.i2_val_lang;aro_lang;c.i1_aro_lang;c.i2_aro_lang;dom_lang;c.i1_dom_lang;c.i2_dom_lang;val_fam;c.i1_val_fam;c.i2_val_fam;aro_fam;c.i1_aro_fam;c.i2_aro_fam;dom_fam;c.i1_dom_fam;c.i2_dom_fam;val_mean;c.i1_val_mean;c.i2_val_mean;aro_mean;c.i1_aro_mean;c.i2_aro_mean;dom_mean;c.i1_dom_mean;c.i2_dom_mean;left_out
2891;1;0,744630595886854;0,727935786901295;0,76044298078104;0,675076045299784;0,654733986310225;0,694440920943708;0,701589309215504;0,682592601314651;0,719638514824343;0,746641414448513;0,730057722904287;0,762346250808707;0,675171069296862;0,654833733483259;0,694531314441414;0,703568557780692;0,684674499049931;0,72151764200544;0,7467596112604;0,730182461200416;0,762458117416927;0,673960347041629;0,653562885167174;0,693379544706291;0,702740408805091;0,683803362519031;0,720731417573914;39
2872;1;0,731651055268309;0,71418762483933;0,748204187926414;0,651764809496756;0,630212775694103;0,672313229262742;0,685239275716989;0,665339208007365;0,704166225828702;0,730046703931587;0,712496201156841;0,746684324072842;0,652345627086441;0,630821505463718;0,672866562066412;0,684492594980887;0,6645547165568;0,703456543293324;0,731540772843156;0,714071350570087;0,748099718695112;0,652700784489492;0,631193743615806;0,673204901803913;0,686227094131056;0,666377115496653;0,705105039511445;58
2900;1;0,744848914328986;0,728192787239189;0,760625742271877;0,658483403101051;0,637361127404833;0,678616872527978;0,678360273492005;0,658214002135012;0,697535645937516;0,745894479924557;0,729296017562484;0,761615489825241;0,659086523820797;0,6379934080739;0,679191315143205;0,680793063134898;0,660768373044277;0,699849336402257;0,745424579974504;0,728800191149201;0,761170684793137;0,6588051710688;0,63769844881433;0,678923343646261;0,681653670254603;0,661672101002294;0,700667716067877;30
2881;1;0,737341936425602;0,720216569523986;0,753569235741606;0,667545221049683;0,646794272757717;0,687308530621106;0,709009110772015;0,690365669646782;0,726711495003576;0,737413819832423;0,720292385180447;0,753637307871942;0,667733964004863;0,646992302628228;0,687488156192913;0,706982769972375;0,688233187029835;0,724788575114522;0,737974294601144;0,720883533720061;0,754168054191146;0,668100667673241;0,647377057596781;0,687837139029311;0,709763680351199;0,691159847146631;0,727427481782401;49
2890;1;0,750983932679817;0,734638391838478;0,766458188633758;0,663236575152149;0,642307865104615;0,683176969437029;0,695948868918898;0,676657899453678;0,714285042127897;0,751429169561234;0,735108433004131;0,766879441380242;0,66706484222303;0,646323455197724;0,686821240079825;0,696743819538725;0,677493695678259;0,715040107426149;0,752726889323555;0,736478538657521;0,768107179296543;0,666589888341005;0,645825198658863;0,686369167679257;0,700007896762438;0,680926006666521;0,718139967600803;40
2886;1;0,754016950497405;0,73782916562594;0,76933788371679;0,658576859251301;0,637406673409761;0,67875351339484;0,704772065203732;0,685923835728717;0,722675242925636;0,755639298080218;0,739542423878037;0,770872383985985;0,658667878084103;0,637502102448187;0,678840194935119;0,706904570502094;0,688167583135308;0,724699312611521;0,756518595076953;0,740471080757379;0,771703994698197;0,656764655513497;0,635506796748238;0,677027549004243;0,706438578659816;0,687677252233624;0,724257042173988;44
2877;1;0,748303537754741;0,73177072639065;0,763956214366242;0,669153727941281;0,648467286711311;0,688852615299884;0,692577837602613;0,67306914044748;0,71112340847167;0,747583664314246;0,731010842872648;0,76327504721575;0,667930260367774;0,64718349059633;0,687688363974276;0,694019076465147;0,674584254807121;0,712492471733976;0,749112122414959;0,732624300653566;0,764721281298288;0,670251469112693;0,649619257082584;0,689897138933221;0,695479501499481;0,676119705832394;0,713879616888251;53
2900;1;0,755456327540783;0,739389222905886;0,770663472275448;0,656502979985707;0,635285153926388;0,676730444355894;0,69604824282619;0,676796527049736;0,714348576604389;0,757559134905129;0,741609853697539;0,772652450100118;0,658064633876943;0,636922128069648;0,6782180010936;0,69842649046277;0,67929692521794;0,716607560182817;0,757148364810993;0,741176040070584;0,772263939172318;0,656991973476706;0,635797711598095;0,677196253907671;0,696281062628141;0,677041285230414;0,714569737831043;30
2883;1;0,750483181157768;0,734089333860291;0,766002704350153;0,673811385309936;0,653377524922465;0,693264121162957;0,711555185391946;0,693052163242679;0,729121286509357;0,754109652689377;0,737918399827719;0,769433325414912;0,674919102480502;0,654540312345648;0,694317842359184;0,713935263810055;0,695557760597356;0,731379168199976;0,752908636904333;0,73665017330958;0,768297269345415;0,674415847076749;0,654012025605768;0,69383912858657;0,71365174238668;0,695259263561388;0,731110223246399;47
2901;1;0,749698193325922;0,733313144978376;0,765212917363352;0,683452485002307;0,663564749746783;0,702374923212622;0,722213236487244;0,704333022221305;0,739177634912104;0,74829561141419;0,731832820373647;0,763885541299722;0,680715200092993;0,660690152070379;0,699772084964628;0,721782966071919;0,703879818661936;0,738769655345741;0,749373177658383;0,732970100424663;0,764905340640094;0,682736420069193;0,662812707512483;0,701694077963831;0,720618000063755;0,702652833848181;0,737664979781623;29
